name_song,name_artists,popularity_songs
Astronaut In The Ocean,Masked Wolf,98
WITHOUT YOU,The Kid LAROI,94
Hecha Pa' Mi,Boza,92
911,Sech,91
What You Know Bout Love,Pop Smoke,91
Goosebumps,HVME,89
RAPSTAR,Polo G,89
Whoopty,CJ,89
Martin & Gina,Polo G,88
Tapão Na Raba,Raí Saia Rodada,87
