name_song,name_artists,popularity_songs
Arcade,Duncan Laurence,89
Put Your Records On,Ritt Momney,87
Hold On,Chord Overstreet,83
Arcade,Duncan Laurence,83
Go Fuck Yourself,Two Feet,80
Control,Zoe Wees,80
Beautiful Crazy,Luke Combs,80
ALL GIRLS ARE THE SAME,RØNIN,79
Blue Jeans,GANGGA,79
Weak,Larissa Lambert,79
